"Feature Type","Version","Status","Launch Date","Latest Date","Change"
"add_gb_builtaddress","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Built Address Feature Type."
"add_gb_builtaddress","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_gb_builtaddress","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_gb_historicaddress","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Historic Address Feature Type."
"add_gb_historicaddress","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_gb_historicaddress","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_gb_nonaddressableobject","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Non-Addressable Object Feature Type."
"add_gb_nonaddressableobject","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_gb_nonaddressableobject","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_gb_prebuildaddress","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Pre-Build Address Feature Type."
"add_gb_prebuildaddress","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_gb_prebuildaddress","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_gb_royalmailaddress","1.0","Latest","30 September 2025","Ongoing","Initial launch of the Royal Mail Address Feature Type."
"add_gb_streetaddress","1.0","Latest","02 November 2022","Ongoing","Initial launch of the Street Address Feature Type."
"add_isl_builtaddress","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Built Address Feature Type."
"add_isl_builtaddress","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_isl_builtaddress","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_isl_historicaddress","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Historic Address Feature Type."
"add_isl_historicaddress","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_isl_historicaddress","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_isl_nonaddressableobject","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Non-Addressable Object Feature Type."
"add_isl_nonaddressableobject","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_isl_nonaddressableobject","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_isl_prebuildaddress","1.0","Maintenance","02 November 2022","Ongoing","Initial launch of the Pre-Build Address Feature Type."
"add_isl_prebuildaddress","2.0","Maintenance","28 March 2023","Ongoing","Major version increment adding new attribution for Full Address, Alternate Language Full Address, Lowest Floor Level, Highest Floor Level, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description."
"add_isl_prebuildaddress","3.0","Latest","30 September 2025","Ongoing","Major version increment implementing the following changes:<ul><li>Extended the max length of the Postcode Source, Full Address, Alternate Language Full Address, Sub Name, Alternate Language Sub Name and Build Status attributes.</li><li>Modified the associated code lists for the Description, Positional Accuracy and Postcode Source attributes.</li><li>Added download filters for Primary Classification Description, Secondary Classification Description, and Tertiary Classification Description attributes.</li><li>New associated code lists added to the Classification Code, Classification Description, Primary Classification Description, Secondary Classification Description, Tertiary Classification Description and Quaternary Classification Description attributes.</li></ul>"
"add_isl_royalmailaddress","1.0","Latest","30 September 2025","Ongoing","Initial launch of the Royal Mail Address Feature Type."
"add_isl_streetaddress","1.0","Latest","02 November 2022","Ongoing","Initial launch of the Street Address Feature Type."
"asu_bdy_boundaryhighwatermark","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Boundary High Water Mark Feature Type."
"asu_bdy_boundaryhighwatermark","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"asu_bdy_ceremonialcounty","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Ceremonial County Feature Type."
"asu_bdy_country","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Country Feature Type."
"asu_bdy_country","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"asu_bdy_devolvedparliamentconstituency","1.0","End Of Life","29 September 2022","30 April 2026","Initial launch of the Devolved Parliament Constituency Feature Type."
"asu_bdy_devolvedparliamentconstituency","1.1","Latest","01 May 2026","Ongoing","Minor version increment to make Boundary Parent Reference ID, Boundary Parent Reference Feature Type, Boundary Parent Reference Classification and Boundary Parent Reference Name 1 Text attributes nullable in line with boundary changes in Wales."
"asu_bdy_devolvedparliamentelectoralregion","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Devolved Parliament Electoral Region Feature Type."
"asu_bdy_electoraldivision","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Electoral Division Feature Type."
"asu_bdy_glaassemblyconstituency","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the GLA Assembly Constituency Feature Type."
"asu_bdy_glaassemblyconstituency","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"asu_bdy_historiccounty","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Historic County Feature Type."
"asu_bdy_historiccounty","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"asu_bdy_historiceuropeanregion","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Historic European Region Feature Type."
"asu_bdy_historiceuropeanregion","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"asu_bdy_lowertierlocalauthority","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Lower Tier Local Authority Feature Type."
"asu_bdy_parishorcommunity","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Parish Or Community Feature Type."
"asu_bdy_pollingdistrict","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Polling District Feature Type."
"asu_bdy_region","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Region Feature Type."
"asu_bdy_regionalauthority","1.0","End Of Life","29 September 2022","27 July 2025","Initial launch of the Regional Authority Feature Type."
"asu_bdy_regionalauthority","1.1","Latest","28 July 2025","Ongoing","Minor version increment that removes the query and download filters from the Description attribute as this attribute supports only a single value."
"asu_bdy_uppertierlocalauthority","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Upper Tier Local Authority Feature Type."
"asu_bdy_ward","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Ward Feature Type."
"asu_bdy_westminsterconstituency","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Westminster Constituency Feature Type."
"asu_funcarea_retailareaaggregated","1.0","Latest","26 March 2026","Ongoing","Initial launch of the Retail Area Aggregated Feature Type."
"asu_funcarea_retailareamajor","1.0","Latest","26 March 2026","Ongoing","Initial launch of the Retail Area Major Feature Type."
"asu_funcarea_retailareaminor","1.0","Latest","26 March 2026","Ongoing","Initial launch of the Retail Area Minor Feature Type."
"asu_gbpcd_postcodeunitarea","1.0","Latest","20 February 2026","Ongoing","Initial launch of the Postcode Unit Area Feature Type."
"asu_gbpcd_postcodeunitpoint","1.0","End Of Life","20 February 2026","06 April 2026","Initial launch of the Postcode Unit Point Feature Type."
"asu_gbpcd_postcodeunitpoint","1.1","Latest","07 April 2026","Ongoing","Schema update to the coordinate reference system and storage coordinate reference system URLs."
"asu_nipcd_postcodeunitpoint","1.0","End Of Life","20 February 2026","06 April 2026","Initial launch of the Postcode Unit Point Feature Type."
"asu_nipcd_postcodeunitpoint","1.1","Latest","07 April 2026","Ongoing","Schema update to the crs and storage crs URLs."
"bld_fts_building","1.0","End Of Life","27 September 2023","02 April 2025","Initial launch of the Building Feature Type."
"bld_fts_building","1.1","End Of Life","03 April 2025","11 March 2026","Max Length removed from UPRN attribute (within the UPRN Reference cross reference table that maps Address to Building) as it is not relevant for the number or integer data types provided for this attribute."
"bld_fts_building","1.2","Maintenance","12 March 2026","Ongoing","Minor version increment. Update to the definitions for the Building Use Address Count Total, Building Use Address Count Residential, Building Use Address Count Commercial and Building Use Address Count Other attributes to change 'built in use' to 'built complete' to align with the updated label in v2.0 of the Build Status Value Code List."
"bld_fts_building","2.0","End Of Life","27 March 2024","11 March 2026","Major version increment adding new Description, Construction Material, Building Age, and Basement Presence attribution."
"bld_fts_building","2.1","Maintenance","12 March 2026","Ongoing","Minor version increment. Update to the definitions for the Building Use Address Count Total, Building Use Address Count Residential, Building Use Address Count Commercial and Building Use Address Count Other attributes to change 'built in use' to 'built complete' to align with the updated label in v2.0 of the Build Status Value Code List."
"bld_fts_building","3.0","End Of Life","25 September 2024","11 March 2026","Major version increment adding new Number Of Floors attribution and amending the names of some existing attributes."
"bld_fts_building","3.1","Maintenance","12 March 2026","Ongoing","Minor version increment. Update to the definitions for the Building Use Address Count Total, Building Use Address Count Residential, Building Use Address Count Commercial and Building Use Address Count Other attributes to change 'built in use' to 'built complete' to align with the updated label in v2.0 of the Build Status Value Code List."
"bld_fts_building","4.0","End Of Life","27 March 2025","11 March 2026","Major version increment adding new Height metadata, Physical State, Roof Material, and Roof Shape Aspect attribution."
"bld_fts_building","4.1","Latest","12 March 2026","Ongoing","Minor version increment. Update to the definitions for the Building Use Address Count Total, Building Use Address Count Residential, Building Use Address Count Commercial and Building Use Address Count Other attributes to change 'built in use' to 'built complete' to align with the updated label in v2.0 of the Build Status Value Code List."
"bld_fts_buildingaccesslocation","1.0","End Of Life","27 March 2025","26 April 2026","Initial launch of the Building Access Location Feature Type."
"bld_fts_buildingaccesslocation","1.1","Latest","27 April 2026","Ongoing","Minor version increment. Update to Access Obstruction attribute's max length from 20 to 30. Clarified documentation to specify the handling of multiple obstruction values."
"bld_fts_buildingline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Building Line Feature Type."
"bld_fts_buildingpart","1.0","End Of Life","29 September 2022","16 July 2025","Initial launch of the Building Part Feature Type."
"bld_fts_buildingpart","1.1","Maintenance","17 July 2025","Ongoing","Minor version increment. Update to OS Land Cover Tier A attribute's max length from 15 to 20 and OS Land Cover Tier B attribute's max length from 25 to 20.<br>New value (Under Construction) added to Building Part Land Cover Tier A Value and Building Part Land Cover Tier B Value Code Lists."
"bld_fts_buildingpart","2.0","End Of Life","25 September 2024","26 March 2025","Major version increment adding new Land Use attribution, NLUD attribution and a cross-reference table to Site.<br>New value added to the Building Part Description Value Code List for Building Under Construction."
"bld_fts_buildingpart","2.1","End Of Life","27 March 2025","16 July 2025","Minor version increment. Update to Status attribute length from 10 to 20 to allow for 'Under Construction'."
"bld_fts_buildingpart","2.2","Latest","17 July 2025","Ongoing","Minor version increment. Update to OS Land Cover Tier A attribute's max length from 15 to 20 and OS Land Cover Tier B attribute's max length from 25 to 20.<br>New value (Under Construction) added to Building Part Land Cover Tier A Value and Building Part Land Cover Tier B Value Code Lists."
"gnm_fts_crowdsourcednamepoint","1.0","Latest","27 March 2025","Ongoing","Initial launch of the Crowd Sourced Name Point Feature Type."
"gnm_fts_namedarea","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Named Area Feature Type."
"gnm_fts_namedpoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Named Point Feature Type."
"gnm_fts_namedroadjunction","1.0","Latest","27 March 2024","Ongoing","Initial launch of the Named Road Junction Feature Type."
"lnd_fts_land","1.0","End Of Life","29 September 2022","10 May 2026","Initial launch of the Land Feature Type."
"lnd_fts_land","1.1","Maintenance","11 May 2026","Ongoing","Minor version increment. Updates made to the Land Description Value Code List (now on v2.0) to indicate two deprecated values no longer in the data."
"lnd_fts_land","2.0","End Of Life","27 March 2024","10 May 2026","Major version increment adding the Habitat Coverage cross-reference table."
"lnd_fts_land","2.1","Maintenance","11 May 2026","Ongoing","Minor version increment. Updates made to the Land Description Value Code List (now on v2.0) to indicate two deprecated values no longer in the data."
"lnd_fts_land","3.0","End Of Life","25 September 2024","26 March 2025","Major version increment adding new Land Use attribution, NLUD attribution and a cross-reference table to Site."
"lnd_fts_land","3.1","End Of Life","27 March 2025","26 September 2025","Minor version increment. Update to Status attribute length from 10 to 20 to allow for 'Under Construction'."
"lnd_fts_land","3.2","End Of Life","27 September 2025","10 May 2026","Minor version increment. Update to schema to make Containing Site Count and Lower Tier Local Authority Count attributes nullable."
"lnd_fts_land","3.3","Latest","11 May 2026","Ongoing","Minor version increment. Updates made to the Land Description Value Code List (now on v2.0) to indicate two deprecated values no longer in the data."
"lnd_fts_landform","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Landform Feature Type."
"lnd_fts_landformline","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Landform Line Feature Type."
"lnd_fts_landformpoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Landform Point Feature Type."
"lnd_fts_landpoint","1.0","Latest","29 September 2022","Ongoing","Initial launch of the Land Point Feature Type."
"lus_fts_site","1.0","End Of Life","04 October 2022","13 February 2025","Initial launch of the Site Feature Type."
"lus_fts_site","1.1","End Of Life","14 February 2025","26 March 2025","Minor version increment that updates the case of two code list values (Public Waste Disposal Site and Education Support Site) within the Site Description Value Code List from sentence case to title case."
